#Forecast Report,,,,,,,,,,,,,,,,,,,,,,,
#Date Period:,01/05/21 - 31/05/21,,,,,,,,,,,,,,,,,,,,,,
#Site,Time zone,Activity,Day,Interaction Volume,AHT,Calculated Staffing,Required Staffing,Service Level,ASA,Abandoned %,Max. Occupancy,Historical data IV,Historical data AHT,Interaction Volume Totals,AHT Totals,Calculated Staffing ,Required Staffing ,Service Level Totals,ASA Totals,Abandoned % Totals,Max. Occupancy Totals,Historical data IV ,Historical data AHT 
Tech Mahindra,AET,Inbound Lost & Stolen,05/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,06/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,07/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,08/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,09/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,10/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,11/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,12/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,13/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,14/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,15/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,16/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,17/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,18/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,19/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,20/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,21/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,22/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,23/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,24/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,25/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,26/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,27/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,28/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,29/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,30/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
Tech Mahindra,AET,Inbound Lost & Stolen,31/05/21,,,,,,,,,,0.00,,,,,,,,,,0.00
#Workforce Management 8.5.215.09,"11/03/21, 2:53 AM - ",,,,,,,,,,,,,,,,,,,,,,
